Soil Type,pH Level,Nitrogen (N),Phosphorus (P),Potassium (K),Organic Matter (%),Soil Moisture (%),Crop Type,Growth Stage,Temperature (°C),Rainfall (mm),Humidity (%),Sunlight (hours),Fertilizer Type,Fertilizer Amount (kg/ha),Yield (kg/ha),Cost (USD),Profit (USD)
Clay,7.05,45.24,22.23,33.31,3.12,31.67,Soybean,Vegetative,33.93,141.39,63.72,6.54,Inorganic,189.86,2551.84,213.97,1764.43
Loamy,7.1,44.19,28.07,39.46,1.8,17.02,Oats,Vegetative,27.15,96.42,54.49,7.93,Mixed,167.08,2579.49,254.22,1991.4
Loamy,6.58,32.42,37.21,36.75,1.98,23.38,Barley,Germination,22.07,93.72,57.27,5.06,Organic,144.29,4493.86,223.03,1466.38
Loamy,6.12,48.67,36.69,49.11,2.9,33.16,Corn,Maturity,20.36,82.83,81.87,8.25,Organic,181.37,3731.37,264.84,1245.85
Loamy,5.79,69.79,30.45,39.71,2.98,16.82,Oats,Vegetative,23.48,76.68,83.06,5.16,Inorganic,142.67,4418.88,167.81,1464.11
Clay,6.97,41.96,38.07,30.46,3.42,21.1,Corn,Flowering,24.8,105.34,84.74,7.81,Inorganic,104.38,2862.89,264.83,1428.83
Loamy,6.7,59.45,22.86,34.43,3.46,24.34,Corn,Fruit development,23.1,66.88,66.75,5.3,Organic,200.54,4257.13,235.81,1319.74
Loamy,6.81,51.91,33.16,38.62,2.83,24.0,Soybean,Maturity,25.48,108.93,54.74,9.24,Mixed,103.33,3824.76,162.56,1702.32
Clay,5.52,43.01,24.98,43.53,2.23,33.88,Wheat,Flowering,33.18,106.13,73.93,9.55,Mixed,181.62,2913.14,187.2,1235.24
Clay,7.36,33.58,32.91,41.24,2.41,22.9,Rice,Maturity,20.72,119.41,82.79,8.07,Mixed,204.63,4054.98,174.42,1373.78
Sandy,5.63,38.63,21.75,47.0,2.38,19.78,Wheat,Flowering,32.02,72.57,51.09,5.63,Organic,115.96,3287.71,278.46,1995.79
Clay,6.23,61.27,38.87,46.57,2.27,23.9,Maize,Germination,26.39,120.2,50.77,9.52,Organic,122.98,3529.68,262.56,1696.23
Clay,6.31,41.16,35.73,41.81,2.18,22.92,Wheat,Germination,33.6,51.69,71.44,8.64,Organic,245.15,4327.7,200.41,1292.1
Sandy,5.5,35.77,24.02,41.43,1.84,27.47,Oats,Germination,30.01,103.44,51.38,9.4,Mixed,170.58,3241.0,284.03,1989.49
Clay,6.49,43.25,32.75,35.56,2.23,34.88,Barley,Germination,22.47,134.41,63.71,7.32,Organic,223.74,3567.81,268.63,1450.5
Clay,7.01,53.36,35.18,49.16,3.44,26.03,Oats,Flowering,34.39,122.78,63.21,7.11,Organic,242.14,3069.47,161.17,1281.79
Clay,7.15,58.14,24.19,31.54,3.26,24.24,Barley,Vegetative,22.32,135.08,53.46,7.96,Organic,217.76,3415.26,294.92,1609.34
Clay,7.26,45.49,21.87,37.94,2.73,26.88,Oats,Flowering,25.04,64.83,76.11,7.28,Organic,242.39,2958.92,290.5,1996.76
Sandy,6.48,49.93,27.04,43.22,1.89,34.6,Corn,Flowering,34.68,121.89,53.81,5.85,Inorganic,233.08,3820.69,231.11,1995.41
Clay,6.76,48.2,22.72,48.91,3.26,27.5,Wheat,Fruit development,23.18,96.91,59.59,9.13,Mixed,195.97,3434.32,251.19,1577.06
Clay,5.66,30.36,31.31,40.03,2.12,17.46,Wheat,Fruit development,29.47,82.32,75.45,5.95,Inorganic,176.87,4008.14,229.38,1526.34
Sandy,6.48,45.82,28.48,47.92,2.59,33.25,Barley,Flowering,34.66,85.58,71.64,8.73,Mixed,221.9,4236.85,214.74,1881.67
Loamy,5.81,53.49,29.25,32.1,3.32,26.82,Maize,Germination,30.33,60.19,66.54,9.45,Mixed,229.58,3735.52,178.85,1654.16
Sandy,6.24,52.8,30.86,40.63,2.17,18.16,Oats,Fruit development,29.94,119.7,51.71,7.65,Organic,240.05,2785.57,261.22,1788.14
Loamy,6.16,59.99,39.64,36.32,3.33,19.61,Rice,Fruit development,29.32,113.19,76.71,6.27,Inorganic,132.66,3306.56,167.56,1554.61
Sandy,6.35,56.82,35.85,45.91,1.97,17.41,Rice,Flowering,28.33,65.26,78.89,5.11,Organic,207.43,2955.57,256.8,1641.78
Sandy,6.64,41.07,32.59,38.9,3.36,34.22,Corn,Maturity,34.24,104.42,53.58,8.27,Inorganic,246.78,4311.8,251.07,1551.45
Clay,7.31,40.23,27.27,39.51,2.22,16.42,Barley,Fruit development,28.16,62.97,84.52,7.77,Mixed,180.6,3452.83,297.89,1268.13
Loamy,6.29,48.57,20.54,31.3,2.25,30.29,Rice,Germination,29.95,81.33,62.16,8.46,Mixed,232.48,3210.81,184.25,1593.42
Clay,7.46,59.32,22.33,38.76,2.61,21.75,Corn,Flowering,31.08,54.41,64.85,9.76,Inorganic,181.15,4256.7,240.8,1541.38
Loamy,7.02,33.75,34.62,31.62,2.19,16.62,Soybean,Maturity,27.92,112.11,64.51,7.26,Mixed,192.18,3433.64,178.21,1624.33
Sandy,6.52,67.93,27.38,35.99,2.4,23.68,Oats,Vegetative,33.32,51.24,72.15,8.36,Inorganic,160.68,3141.52,249.62,1389.3
Sandy,6.79,51.73,26.69,32.54,2.5,15.01,Maize,Germination,20.34,76.07,70.06,5.71,Mixed,135.9,4472.62,227.31,1866.74
Loamy,5.7,42.26,37.78,36.69,2.48,31.35,Wheat,Germination,25.93,76.67,69.63,5.7,Mixed,215.89,2964.29,201.32,1707.45
Clay,7.19,57.74,29.69,34.55,3.42,25.84,Maize,Flowering,29.25,124.84,77.35,7.47,Organic,153.45,3300.78,247.28,1812.77
Clay,6.66,31.79,37.99,35.7,2.06,24.03,Rice,Vegetative,20.28,95.06,82.48,7.93,Inorganic,226.81,3906.6,235.28,1538.53
Clay,7.47,49.38,37.73,32.97,2.07,31.58,Barley,Germination,34.05,107.32,78.76,9.92,Inorganic,229.24,3162.32,262.67,1734.44
Clay,6.77,49.44,21.6,38.79,3.18,25.39,Oats,Germination,32.4,74.91,75.23,7.84,Inorganic,156.56,3513.32,155.06,1802.21
Sandy,7.17,36.48,38.91,39.95,2.28,26.91,Oats,Flowering,23.29,104.76,51.77,9.59,Mixed,121.54,2543.71,275.67,1627.55
Sandy,7.1,63.5,21.54,46.73,1.65,31.3,Oats,Germination,24.98,64.92,58.7,8.94,Mixed,162.09,2944.13,292.25,1933.93
Sandy,6.19,61.87,39.27,40.78,2.46,29.41,Wheat,Maturity,30.16,149.24,53.67,9.5,Organic,125.9,4147.25,174.74,1234.46
Sandy,6.02,36.11,29.05,34.58,2.6,28.18,Maize,Vegetative,25.12,101.7,79.92,9.29,Mixed,205.39,2702.74,183.64,1963.48
Sandy,6.36,44.55,35.22,44.72,2.74,29.08,Maize,Fruit development,32.85,137.94,72.82,7.71,Organic,158.3,3649.23,225.98,1920.16
Clay,6.43,34.02,34.12,35.94,1.97,20.26,Oats,Fruit development,23.73,60.57,51.18,5.0,Mixed,213.19,2930.26,255.76,1860.02
Clay,5.98,63.94,30.37,45.13,3.45,17.34,Barley,Vegetative,32.27,109.04,75.31,7.28,Mixed,172.64,3364.53,219.33,1682.05
Clay,7.29,42.93,32.39,37.74,2.97,27.45,Barley,Maturity,26.97,117.1,61.8,6.1,Mixed,114.44,3951.79,219.24,1244.51
Clay,6.59,47.57,39.0,40.27,2.94,19.48,Corn,Flowering,26.8,128.9,69.02,8.57,Organic,129.64,3396.69,299.73,1307.02
Sandy,7.46,42.95,38.55,40.08,3.25,15.95,Barley,Flowering,22.53,98.59,70.29,5.99,Mixed,236.87,3493.22,203.14,1783.27
Sandy,7.12,42.4,33.09,49.11,1.55,20.09,Barley,Fruit development,34.75,53.61,55.68,7.37,Organic,154.44,4448.42,239.46,1998.15
Sandy,6.61,59.89,33.15,33.07,2.73,29.41,Barley,Germination,25.17,76.12,63.96,5.12,Inorganic,173.58,2859.13,273.27,1772.65
Loamy,7.39,59.9,24.94,48.77,3.14,29.17,Oats,Vegetative,23.07,78.06,64.93,5.45,Organic,140.94,3752.49,177.94,1303.12
Clay,6.51,50.71,36.57,41.24,1.57,33.07,Soybean,Maturity,20.49,81.84,71.52,6.96,Inorganic,163.06,2911.66,293.27,1938.8
Clay,7.27,56.3,32.65,49.87,3.01,28.5,Maize,Flowering,27.4,59.22,81.14,8.65,Mixed,155.19,4202.86,178.04,1239.99
Sandy,6.22,50.47,36.52,41.46,3.48,23.79,Barley,Vegetative,20.48,50.06,71.53,8.37,Inorganic,120.45,3899.28,228.48,1802.51
Clay,6.26,31.14,33.16,43.13,2.69,20.21,Wheat,Germination,26.83,101.97,73.93,7.14,Organic,228.23,4069.16,235.3,1261.02
Clay,6.34,32.64,25.99,44.99,2.35,30.17,Soybean,Fruit development,33.54,123.68,73.26,5.95,Inorganic,226.3,3997.45,241.5,1229.0
Sandy,6.59,45.35,23.79,46.44,2.41,23.24,Soybean,Germination,27.47,73.01,52.96,6.53,Mixed,189.15,3046.11,168.7,1750.89
Loamy,6.61,59.99,21.54,39.55,2.86,31.31,Oats,Maturity,20.65,119.38,60.49,7.47,Inorganic,242.33,3940.41,164.21,1478.53
Loamy,6.49,66.53,31.72,43.57,2.64,32.03,Barley,Fruit development,23.97,123.11,64.06,9.74,Organic,193.71,3411.98,182.96,1543.27
Loamy,6.11,31.19,25.68,42.3,3.08,22.03,Wheat,Germination,20.73,91.12,65.55,8.2,Inorganic,145.05,3272.92,249.61,1601.2
Sandy,7.35,44.72,32.61,38.14,2.34,21.88,Soybean,Maturity,33.23,102.5,79.47,5.64,Mixed,103.72,3222.79,154.86,1528.15
Clay,6.68,38.95,21.17,46.42,2.33,33.27,Rice,Maturity,23.6,81.4,68.39,9.02,Organic,160.72,3884.4,247.67,1929.34
Sandy,6.32,62.61,27.51,33.85,2.99,22.95,Oats,Maturity,20.98,87.52,78.54,8.61,Organic,159.53,3614.85,188.73,1261.85
Sandy,6.8,63.84,25.21,33.34,2.79,29.14,Soybean,Vegetative,34.47,108.91,81.73,9.44,Organic,208.64,3357.66,165.94,1474.53
Clay,7.04,38.26,27.41,44.73,3.06,22.56,Corn,Maturity,27.31,86.19,74.36,8.06,Mixed,149.42,4162.08,206.75,1398.39
Loamy,7.42,58.43,21.09,42.75,3.27,29.63,Soybean,Flowering,26.08,100.11,53.97,6.55,Mixed,153.65,3939.73,219.76,1388.18
Loamy,6.5,59.27,34.48,36.35,2.03,18.47,Maize,Maturity,33.91,124.38,57.03,9.24,Inorganic,165.69,2722.83,188.94,1370.79
Sandy,5.72,37.08,22.33,42.7,2.13,31.72,Barley,Germination,27.96,146.46,78.98,7.89,Organic,176.29,3154.13,271.6,1776.05
Loamy,6.38,47.35,20.29,45.41,2.55,34.66,Soybean,Flowering,24.22,139.11,69.73,8.51,Organic,232.03,4053.31,218.71,1453.02
Sandy,6.46,54.81,38.93,34.34,3.36,30.32,Corn,Fruit development,31.88,141.45,68.06,7.35,Organic,135.42,3802.67,201.93,1817.04
Sandy,7.29,31.04,23.86,41.63,3.17,22.18,Corn,Flowering,24.08,141.12,83.91,9.02,Mixed,205.93,3354.35,291.25,1655.23
Clay,6.29,46.18,36.56,46.49,2.44,26.1,Barley,Germination,26.64,74.15,62.88,8.13,Organic,248.38,3422.34,186.01,1501.47
Clay,7.41,36.2,39.29,38.22,2.65,28.39,Oats,Fruit development,32.05,144.64,51.43,9.45,Inorganic,220.05,3653.72,186.17,1553.72
Clay,6.47,51.68,30.68,41.43,2.92,18.86,Oats,Germination,33.97,72.24,58.93,6.75,Mixed,165.25,2754.41,292.46,1451.32
Sandy,7.45,63.72,30.52,31.57,2.55,20.66,Soybean,Germination,29.09,136.42,59.97,9.24,Organic,118.14,2880.88,260.28,1392.98
Clay,5.52,50.99,27.35,46.61,1.7,31.04,Rice,Vegetative,27.57,108.11,67.93,8.94,Inorganic,166.26,2760.59,163.02,1623.67
Loamy,7.3,31.44,28.51,45.92,2.21,33.91,Soybean,Vegetative,21.14,133.87,50.25,6.85,Inorganic,172.27,2690.18,237.25,1574.66
Loamy,7.36,31.19,29.64,39.13,1.6,20.45,Wheat,Germination,29.26,148.22,84.59,9.38,Organic,139.41,3864.12,228.94,1394.33
Sandy,7.42,54.22,23.04,32.38,2.84,17.95,Corn,Maturity,24.9,137.57,52.17,7.96,Mixed,145.65,2905.74,190.54,1979.56
Sandy,5.53,43.12,27.29,43.21,2.17,34.63,Soybean,Vegetative,27.72,131.65,58.13,6.86,Mixed,169.49,2785.99,288.62,1429.15
Clay,5.84,52.91,36.32,41.46,2.98,21.4,Rice,Germination,31.17,70.65,73.54,6.38,Mixed,153.61,3998.04,244.35,1298.16
Sandy,6.81,36.55,23.65,48.39,2.36,30.57,Oats,Flowering,29.6,135.99,84.21,5.44,Mixed,158.31,3534.19,242.87,1522.36
Sandy,5.55,61.07,34.6,35.6,1.59,22.58,Oats,Germination,21.45,66.58,67.91,5.46,Organic,134.2,3388.21,297.73,1308.26
Loamy,5.63,64.43,33.03,30.65,2.26,33.98,Rice,Germination,25.96,101.27,61.96,8.92,Mixed,142.94,3210.89,265.62,1948.36
Loamy,5.94,65.57,21.15,35.09,1.94,26.99,Rice,Fruit development,22.99,100.23,55.69,6.93,Organic,115.58,3687.97,217.56,1873.79
Clay,6.52,42.16,20.45,38.56,1.93,23.3,Maize,Vegetative,22.27,101.87,81.62,7.62,Mixed,192.04,4163.34,229.05,1395.48
Sandy,6.59,56.43,27.05,33.11,2.26,18.57,Maize,Fruit development,23.31,122.31,51.75,9.17,Mixed,133.07,3291.71,215.69,1334.68
Sandy,5.57,41.16,33.84,49.59,3.46,20.11,Maize,Maturity,33.81,89.6,52.45,8.27,Mixed,107.16,2516.25,288.89,1542.11
Loamy,5.84,60.51,26.61,34.45,3.42,32.14,Barley,Germination,30.69,95.66,52.23,9.71,Mixed,172.36,4273.53,294.27,1607.62
Sandy,6.5,34.82,33.35,43.56,3.11,16.14,Wheat,Vegetative,33.62,115.9,66.33,7.62,Mixed,238.44,3574.63,283.22,1570.8
Loamy,6.69,60.51,33.31,39.08,1.99,18.14,Wheat,Vegetative,27.6,118.24,82.59,5.56,Organic,232.21,2759.14,150.26,1775.55
Clay,5.8,47.59,36.13,41.1,3.03,18.85,Barley,Vegetative,20.02,93.75,69.45,6.74,Mixed,227.26,2600.61,285.2,1873.04
Loamy,6.3,64.22,21.99,48.65,1.53,16.41,Soybean,Germination,20.52,55.21,62.41,5.69,Inorganic,139.85,3589.33,167.64,1340.2
Sandy,7.31,59.56,31.54,40.63,1.61,28.71,Maize,Germination,22.17,75.91,58.35,8.74,Mixed,152.65,3484.87,227.54,1652.36
Clay,7.5,45.06,21.25,36.1,3.17,34.63,Maize,Flowering,31.71,144.4,68.01,7.33,Inorganic,211.41,2712.62,160.99,1694.26
Loamy,7.47,66.14,23.52,34.42,2.63,17.78,Wheat,Fruit development,23.02,142.74,65.45,5.29,Inorganic,121.53,3684.42,206.99,1422.57
Loamy,7.26,41.33,26.51,47.84,2.25,30.98,Rice,Fruit development,21.52,114.96,53.27,5.08,Inorganic,201.52,3835.07,154.69,1435.26
Clay,6.29,68.68,34.15,49.73,2.98,18.53,Rice,Germination,32.91,68.52,50.22,5.28,Inorganic,125.33,3778.8,270.68,1729.5
Clay,6.87,60.69,39.48,35.04,1.73,34.48,Barley,Maturity,23.43,59.57,70.83,8.36,Organic,107.75,3294.56,241.76,1323.54
Loamy,6.33,69.63,26.85,44.44,2.07,25.14,Barley,Vegetative,27.54,144.95,80.04,6.01,Inorganic,117.12,3222.12,159.5,1476.74
Sandy,6.8,32.16,30.42,40.12,2.96,31.95,Barley,Germination,25.09,137.32,71.31,8.89,Organic,200.4,3755.53,210.86,1381.19
Loamy,6.12,40.96,25.18,43.97,1.91,18.41,Corn,Germination,33.45,89.79,61.42,7.57,Inorganic,181.23,3218.34,275.01,1663.49
Clay,6.71,59.65,33.51,49.28,2.7,32.71,Barley,Germination,30.57,112.96,55.36,7.9,Inorganic,156.68,3692.75,239.93,1891.9
Loamy,6.55,66.89,27.33,35.52,2.4,16.63,Soybean,Vegetative,26.81,141.42,75.87,5.85,Organic,208.2,4322.08,237.23,1435.04
Clay,5.55,31.15,29.63,44.8,1.9,15.46,Soybean,Vegetative,32.95,63.82,74.58,9.39,Inorganic,226.01,3733.71,219.13,1426.11
Clay,7.08,30.0,31.36,38.76,3.28,29.18,Oats,Germination,30.9,113.63,79.64,7.36,Mixed,101.8,3930.67,221.24,1451.1
Sandy,5.52,40.25,33.72,43.05,2.37,17.13,Oats,Flowering,32.13,141.95,84.4,7.06,Organic,237.77,4116.09,284.25,1899.68
Clay,6.09,64.11,21.2,38.13,2.7,32.32,Maize,Fruit development,34.66,133.65,53.92,8.98,Mixed,223.57,4493.14,239.76,1356.37
Clay,5.51,60.69,31.1,44.17,2.01,27.43,Wheat,Flowering,23.05,78.71,59.26,5.16,Inorganic,177.66,3750.68,286.0,1256.74
Sandy,6.25,43.61,28.62,36.75,2.19,21.62,Soybean,Flowering,23.04,145.2,62.03,7.59,Mixed,132.27,3343.89,268.43,1215.26
Clay,5.63,30.08,22.68,39.77,1.6,20.55,Rice,Germination,28.35,70.32,68.82,8.6,Mixed,242.51,3382.19,266.18,1785.14
Sandy,7.33,52.19,24.16,44.18,2.47,16.64,Oats,Vegetative,27.99,70.86,51.86,8.98,Mixed,199.28,4004.63,271.42,1437.49
Sandy,6.33,39.52,37.68,30.85,2.19,28.73,Wheat,Fruit development,33.04,59.66,59.65,5.78,Mixed,103.84,4441.47,280.27,1896.22
Clay,6.42,59.82,37.44,36.56,2.16,33.34,Maize,Flowering,22.34,61.81,77.8,6.95,Mixed,165.67,2760.67,164.91,1707.13
Clay,6.2,47.85,20.67,40.92,3.28,30.14,Barley,Maturity,26.38,126.17,51.69,6.6,Organic,203.48,3861.29,181.96,1241.97
Loamy,6.76,57.14,33.79,31.48,2.91,27.39,Maize,Vegetative,27.92,77.59,78.63,9.96,Organic,214.17,3356.1,208.68,1742.17
Sandy,7.07,64.09,31.08,44.06,2.41,17.37,Soybean,Vegetative,26.96,136.91,56.46,8.68,Mixed,222.5,3661.32,216.32,1201.52
Loamy,6.8,51.43,38.8,46.27,1.89,31.55,Soybean,Fruit development,21.01,135.76,60.68,7.13,Mixed,233.76,3329.26,158.22,1592.37
Clay,7.0,43.44,38.16,33.27,3.45,34.31,Oats,Fruit development,22.22,61.65,75.13,6.07,Mixed,222.2,2789.04,207.72,1613.86
Loamy,7.31,60.78,31.59,44.67,1.65,20.26,Barley,Fruit development,22.3,103.24,76.76,5.87,Organic,168.2,3404.89,230.54,1333.95
Sandy,7.23,40.61,22.78,42.92,1.77,23.41,Corn,Germination,28.94,123.95,57.38,9.97,Mixed,217.46,4400.89,284.98,1430.43
Loamy,6.85,65.66,29.2,38.22,2.04,15.28,Barley,Vegetative,26.43,118.26,64.19,7.92,Mixed,161.01,2664.24,199.44,1505.17
Sandy,5.93,32.86,34.5,33.3,3.41,31.64,Barley,Germination,22.67,60.37,58.47,8.62,Organic,136.02,4485.84,263.39,1250.29
Clay,6.78,63.42,39.03,49.1,2.06,15.41,Soybean,Germination,31.05,82.17,67.97,5.79,Mixed,141.38,2600.48,283.49,1425.84
Clay,6.51,33.66,27.28,39.28,2.48,24.73,Soybean,Germination,32.04,111.2,72.83,8.74,Inorganic,232.14,3292.24,192.69,1481.87
Sandy,6.93,32.25,35.69,33.67,3.02,26.53,Rice,Vegetative,23.15,108.43,59.45,6.2,Mixed,193.64,3939.3,230.3,1909.45
Clay,7.17,44.53,33.67,44.36,3.36,16.11,Rice,Maturity,30.84,131.4,66.18,8.81,Mixed,146.76,3763.21,249.6,1750.0
Clay,6.99,68.26,21.57,42.16,2.71,18.51,Wheat,Flowering,20.95,55.61,68.75,9.57,Mixed,162.16,2929.2,232.79,1880.54
Clay,7.19,69.34,31.16,46.32,2.27,30.82,Soybean,Vegetative,32.84,98.04,64.66,6.94,Organic,136.7,3100.02,191.11,1469.06
Clay,5.63,38.08,23.67,49.92,3.47,20.05,Soybean,Vegetative,34.44,134.89,67.99,9.52,Mixed,182.44,3589.08,217.25,1972.1
Sandy,5.56,35.95,33.67,30.9,1.55,29.49,Maize,Fruit development,22.34,149.37,55.04,7.32,Mixed,108.85,4480.94,152.25,1607.28
Loamy,6.02,44.12,32.2,44.79,3.16,29.98,Oats,Flowering,31.79,62.85,51.42,9.04,Mixed,240.28,2902.12,283.95,1340.61
Loamy,7.3,43.48,39.46,49.78,2.05,23.15,Rice,Fruit development,21.46,114.59,52.21,7.27,Inorganic,154.3,3569.96,223.53,1610.95
Clay,7.15,60.38,38.71,40.76,3.13,16.28,Maize,Maturity,34.42,50.13,84.05,5.72,Organic,174.05,3608.11,230.3,1780.25
Loamy,6.87,47.76,20.19,44.31,1.82,15.22,Soybean,Germination,26.78,84.95,52.59,8.34,Mixed,233.12,3646.91,292.65,1918.58
Loamy,6.9,61.2,21.6,38.82,2.19,24.85,Rice,Fruit development,28.03,94.48,63.51,6.63,Inorganic,216.55,3998.84,270.37,1350.18
Clay,6.95,59.95,35.38,37.14,1.61,16.43,Oats,Maturity,31.46,84.59,77.71,5.38,Organic,178.68,2941.65,215.75,1511.58
Clay,7.39,53.13,33.71,43.93,1.9,29.53,Soybean,Flowering,23.73,112.45,79.77,8.26,Organic,204.62,2891.86,177.77,1626.28
Loamy,7.16,63.34,36.02,49.76,2.71,22.62,Corn,Germination,25.98,51.54,59.4,7.89,Organic,111.57,4332.31,238.04,1948.64
Sandy,6.75,37.83,25.34,31.83,3.02,28.67,Oats,Maturity,21.05,140.83,72.4,9.65,Organic,204.42,3559.08,263.45,1373.72
Clay,6.83,36.47,36.99,38.44,3.32,23.16,Barley,Fruit development,29.22,81.85,75.34,5.44,Inorganic,139.25,2973.7,218.85,1855.2
Sandy,5.93,60.03,28.85,48.81,1.74,27.57,Oats,Maturity,31.99,65.04,82.06,7.15,Organic,216.42,2896.66,202.28,1213.23
Loamy,6.81,39.79,25.24,32.26,1.78,31.66,Maize,Maturity,32.78,93.32,81.12,6.16,Inorganic,172.49,2701.54,269.4,1734.74
Clay,6.35,30.11,20.21,43.02,3.38,32.69,Rice,Germination,28.05,101.4,65.23,7.42,Organic,124.66,2857.55,151.62,1487.5
Sandy,5.81,66.48,37.43,38.6,3.03,15.34,Rice,Vegetative,31.49,55.2,68.95,9.21,Mixed,199.25,4392.96,161.11,1804.65
Clay,7.11,54.92,30.71,37.54,2.58,27.91,Soybean,Maturity,22.25,129.91,78.03,9.71,Mixed,135.75,3415.8,250.51,1237.12
Loamy,6.52,47.8,39.51,34.19,2.45,26.28,Soybean,Germination,31.15,123.74,70.96,6.9,Inorganic,249.24,3551.77,163.75,1990.0
Sandy,7.45,59.03,34.29,33.53,1.82,27.74,Wheat,Germination,20.07,101.18,62.46,8.1,Inorganic,214.28,2773.97,246.29,1672.08
Loamy,6.06,43.33,21.61,40.33,2.26,16.16,Wheat,Flowering,22.92,68.6,83.26,6.18,Mixed,170.26,3601.05,171.21,1228.33
Loamy,6.46,68.15,31.76,37.55,2.25,16.4,Maize,Flowering,29.52,142.66,84.92,8.81,Mixed,121.76,3908.84,264.35,1264.4
Clay,6.4,32.74,20.34,39.83,2.8,24.94,Rice,Vegetative,24.81,129.42,82.66,9.53,Organic,235.3,3216.41,196.81,1572.29
Sandy,5.74,55.64,31.16,33.92,2.7,16.14,Soybean,Fruit development,26.16,73.37,62.1,7.38,Inorganic,176.52,4412.63,201.74,1766.93
Loamy,6.35,61.09,27.0,37.0,1.62,30.53,Maize,Maturity,32.39,123.6,58.48,9.36,Inorganic,180.64,3812.58,162.17,1687.94
Loamy,6.08,48.77,32.87,49.93,3.2,30.45,Rice,Maturity,28.57,60.14,67.26,9.92,Mixed,178.45,4008.55,157.6,1320.51
Sandy,5.82,60.2,30.83,37.36,3.38,17.35,Soybean,Germination,25.98,61.84,77.47,8.04,Inorganic,162.65,3926.23,236.15,1744.66
Loamy,6.06,67.08,25.23,38.25,3.06,24.1,Wheat,Germination,26.99,94.46,59.45,7.8,Mixed,184.38,4097.44,185.98,1832.16
Loamy,5.97,59.76,23.25,30.4,1.86,26.9,Rice,Germination,32.73,120.17,64.23,6.91,Mixed,209.23,3471.17,157.65,1951.94
Sandy,6.97,42.37,28.09,37.62,1.84,32.19,Soybean,Flowering,27.28,141.73,55.3,8.93,Mixed,173.81,4288.5,194.37,1850.25
Sandy,5.56,52.47,39.74,45.27,2.95,34.77,Maize,Germination,33.13,147.1,74.56,9.07,Organic,184.95,4204.63,296.37,1302.69
Sandy,6.73,66.46,28.71,40.31,2.38,15.34,Maize,Vegetative,23.71,119.19,75.81,5.05,Mixed,159.33,3656.92,152.56,1508.87
Sandy,7.02,47.96,34.98,43.14,3.06,24.53,Corn,Germination,28.01,128.32,67.35,6.26,Inorganic,177.26,3002.73,278.95,1729.28
Clay,6.46,57.27,21.14,41.13,1.65,31.07,Rice,Fruit development,25.54,101.04,75.81,5.16,Mixed,115.77,3794.19,283.98,1967.92
Sandy,7.36,48.62,27.58,32.11,2.93,30.92,Maize,Germination,28.87,55.59,72.55,8.88,Organic,169.58,2633.2,198.17,1237.1
Clay,6.92,34.85,31.61,36.64,2.35,25.84,Rice,Maturity,28.63,62.53,82.53,5.89,Organic,182.58,3946.17,234.71,1946.76
Clay,7.0,32.34,35.02,43.88,1.56,18.65,Maize,Maturity,28.57,147.08,70.53,5.54,Inorganic,249.67,3567.87,171.27,1633.65
Clay,5.89,68.09,30.57,40.96,2.59,26.18,Rice,Germination,27.92,89.3,62.49,8.99,Organic,218.34,3862.53,246.23,1734.21
Loamy,7.05,54.5,30.31,43.5,2.9,22.83,Rice,Maturity,26.82,127.19,75.54,7.87,Organic,159.1,3595.62,293.63,1326.31
Clay,7.16,34.15,35.28,37.2,2.56,23.18,Rice,Germination,33.66,72.05,51.99,5.77,Organic,223.24,4162.56,201.59,1627.89
Clay,6.22,64.3,26.27,33.87,1.75,21.57,Corn,Germination,24.02,103.29,66.67,9.22,Inorganic,221.68,3962.66,229.12,1615.05
Loamy,5.93,50.91,21.81,46.6,3.13,17.89,Oats,Flowering,26.51,65.27,83.81,7.03,Inorganic,155.76,4294.56,195.81,1473.78
Loamy,6.27,60.88,26.94,37.53,2.13,29.76,Wheat,Flowering,23.17,130.87,74.68,6.86,Inorganic,247.0,3117.33,217.86,1427.98
Loamy,6.98,35.07,23.18,43.1,3.34,29.17,Barley,Maturity,24.98,66.81,84.95,8.26,Organic,168.28,4313.15,215.72,1782.33
Sandy,6.34,66.28,39.32,37.62,3.31,25.86,Rice,Maturity,23.73,120.59,63.75,5.18,Mixed,241.68,3341.26,257.96,1870.52
Loamy,6.97,53.62,31.55,48.55,1.9,22.1,Wheat,Vegetative,30.05,65.09,63.75,6.68,Inorganic,154.32,4371.84,270.7,1553.91
Loamy,5.73,59.53,28.93,49.84,2.45,31.45,Oats,Vegetative,30.61,131.87,52.08,5.39,Organic,237.47,3253.68,278.79,1698.27
Clay,7.11,31.26,38.24,42.98,1.77,18.2,Barley,Germination,24.15,100.29,62.62,8.68,Mixed,102.37,4004.53,184.87,1946.29
Loamy,6.01,42.61,38.01,42.04,2.86,23.69,Wheat,Vegetative,34.75,91.24,54.94,6.37,Mixed,155.71,4174.58,187.15,1954.63
Sandy,6.0,40.7,28.31,46.82,3.2,28.07,Wheat,Fruit development,24.26,83.68,63.84,9.18,Inorganic,181.66,3334.35,298.07,1926.4
Loamy,6.68,67.98,37.49,40.32,2.8,31.43,Maize,Flowering,32.43,118.77,50.07,7.09,Mixed,244.39,3593.03,278.96,1956.69
